Language,Methodology,Sentiment Accuracy,Similarity,Bleu Score,Avg
bn,falcon_7b_finetune,40.8,56.4,13.3,36.8
en,falcon_7b_finetune,88.3,81.6,47.6,72.5
hi,falcon_7b_finetune,37.7,83.4,53.6,58.2
bn,bloomz_7b_finetune,85.9,76.9,24.4,62.4
en,bloomz_7b_finetune,91.0,81.3,48.0,73.4
hi,bloomz_7b_finetune,85.3,83.0,47.2,71.8
bn,llama_13b_finetune,53.9,84.6,52.8,63.8
en,llama_13b_finetune,93.1,82.7,49.5,75.1
hi,llama_13b_finetune,72.4,83.5,52.1,69.3
bn,bloom_7b_finetune,81.7,78.7,35.5,65.3
en,bloom_7b_finetune,91.2,81.9,47.4,73.5
hi,bloom_7b_finetune,83.9,82.9,47.6,71.5
bn,llama2_13b_finetune,61.2,84.9,54.4,66.8
en,llama2_13b_finetune,92.0,83.0,50.2,75.1
hi,llama2_13b_finetune,79.6,83.1,51.2,71.3
bn,llama2_7b_finetune,56.7,84.1,52.3,64.4
en,llama2_7b_finetune,92.9,82.6,49.5,75.0
hi,llama2_7b_finetune,77.5,81.8,49.8,69.7
bn,llama_7b_finetune,41.9,85.6,57.3,61.6
en,llama_7b_finetune,91.5,82.6,50.0,74.7
hi,llama_7b_finetune,69.4,82.7,52.4,68.2
bn,opt_6b_finetune,22.5,86.9,60.1,56.5
en,opt_6b_finetune,91.7,81.6,47.7,73.7
hi,opt_6b_finetune,29.1,84.3,59.8,57.7
bn,bloomz_560m_finetune,72.5,72.6,21.6,55.6
en,bloomz_560m_finetune,85.6,78.4,41.6,68.5
hi,bloomz_560m_finetune,70.2,81.1,45.9,65.7
bn,opt_1b_finetune,21.0,83.9,54.0,53.0
en,opt_1b_finetune,87.6,81.7,49.3,72.9
hi,opt_1b_finetune,17.8,86.6,61.7,55.4
bn,chatglm2_6b_finetune,42.1,50.8,8.4,33.8
en,chatglm2_6b_finetune,86.8,80.4,45.5,70.9
hi,chatglm2_6b_finetune,51.9,79.8,47.1,59.6
bn,bloom_3b_finetune,76.3,81.6,40.7,66.2
en,bloom_3b_finetune,90.0,81.4,47.6,73.0
hi,bloom_3b_finetune,78.9,83.2,47.9,70.0
bn,bloomz_3b_finetune,85.0,76.1,24.1,61.7
en,bloomz_3b_finetune,88.7,81.3,47.6,72.6
hi,bloomz_3b_finetune,81.8,83.0,47.3,70.7
bn,opt_13b_finetune,24.8,87.8,63.7,58.8
en,opt_13b_finetune,93.3,82.0,48.4,74.6
hi,opt_13b_finetune,41.3,83.8,58.8,61.3
bn,bloom_560m_finetune,70.5,71.3,19.4,53.7
en,bloom_560m_finetune,84.2,78.3,42.7,68.4
hi,bloom_560m_finetune,70.9,80.4,45.5,65.6
bn,llama3_8b_finetune,81.9,83.8,46.1,70.6
en,llama3_8b_finetune,92.0,82.8,50.2,75.0
hi,llama3_8b_finetune,85.7,84.0,49.6,73.1
bn,opt_2b_finetune,17.5,86.8,59.5,54.6
en,opt_2b_finetune,89.7,81.8,49.1,73.6
hi,opt_2b_finetune,22.9,85.6,60.9,56.5
bn,bloom_1b_finetune,80.3,79.9,33.5,64.6
en,bloom_1b_finetune,87.7,81.1,47.6,72.2
hi,bloom_1b_finetune,79.3,83.2,44.0,68.9
bn,bloomz_1b_finetune,83.7,76.6,27.4,62.6
en,bloomz_1b_finetune,85.8,81.1,48.0,71.6
hi,bloomz_1b_finetune,76.2,83.2,47.1,68.8
