Language,Methodology,Style Accuracy,Similarity,Bleu Score,Avg
en,bloomz_1b_finetune,89.0,74.5,39.7,67.7
hi,bloomz_1b_finetune,72.2,74.3,31.1,59.2
en,opt_13b_finetune,96.8,75.9,42.6,71.8
hi,opt_13b_finetune,59.0,76.3,40.2,58.5
en,bloom_7b_finetune,92.4,75.8,41.7,70.0
hi,bloom_7b_finetune,82.0,76.6,33.8,64.1
en,llama3_8b_finetune,96.8,76.9,45.2,73.0
hi,llama3_8b_finetune,83.2,78.0,37.2,66.1
en,bloomz_3b_finetune,87.6,75.0,39.0,67.2
hi,bloomz_3b_finetune,76.6,75.3,30.4,60.7
en,bloom_560m_finetune,88.2,71.2,34.9,64.8
hi,bloom_560m_finetune,72.8,69.4,29.7,57.3
en,opt_2b_finetune,90.6,76.0,40.7,69.1
hi,opt_2b_finetune,56.0,75.8,38.4,56.8
en,llama_7b_finetune,91.8,76.1,42.4,70.1
hi,llama_7b_finetune,67.4,73.9,36.2,59.2
en,bloom_3b_finetune,88.2,75.6,40.6,68.1
hi,bloom_3b_finetune,78.6,75.9,32.9,62.5
en,chatglm2_6b_finetune,90.0,74.0,34.2,66.1
hi,chatglm2_6b_finetune,67.8,69.3,30.3,55.8
en,bloomz_560m_finetune,89.0,71.2,35.9,65.4
hi,bloomz_560m_finetune,74.0,71.2,28.8,58.0
en,bloomz_7b_finetune,92.4,75.6,40.7,69.6
hi,bloomz_7b_finetune,82.0,76.4,32.2,63.5
en,llama_13b_finetune,93.8,76.6,42.4,71.0
hi,llama_13b_finetune,69.0,75.2,36.7,60.3
en,bloom_1b_finetune,89.4,74.2,38.6,67.4
hi,bloom_1b_finetune,72.4,75.1,32.3,59.9
en,llama2_7b_finetune,92.4,76.2,43.3,70.6
hi,llama2_7b_finetune,68.8,74.6,36.2,59.9
en,opt_1b_finetune,87.6,75.4,40.4,67.8
hi,opt_1b_finetune,55.4,76.6,40.2,57.4
en,falcon_7b_finetune,87.6,73.8,37.8,66.4
hi,falcon_7b_finetune,68.8,61.3,21.4,50.5
en,opt_6b_finetune,95.8,76.7,42.2,71.6
hi,opt_6b_finetune,58.2,76.1,39.8,58.0
en,llama2_13b_finetune,95.6,76.1,42.8,71.5
hi,llama2_13b_finetune,73.8,75.5,36.3,61.9
