Language,Methodology,Style Accuracy,Similarity,Bleu Score,Avg
en,falcon_7b_zero_shot,46.6,75.2,38.2,53.3
hi,falcon_7b_zero_shot,65.4,60.7,27.3,51.1
en,Llama_7b_zero_shot,11.6,73.2,37.0,40.6
en,Llama2_7b_zero_shot,20.6,74.7,37.5,44.3
hi,Llama2_7b_zero_shot,53.2,78.7,41.0,57.7
en,bloom_3b_zero_shot,10.8,74.9,40.0,41.9
hi,bloom_3b_zero_shot,52.2,79.5,42.4,58.0
en,Llama2_13b_zero_shot,19.4,74.3,40.3,44.7
hi,Llama2_13b_zero_shot,54.0,78.9,41.6,58.2
en,bloom_560m_zero_shot,16.6,70.3,35.2,40.7
hi,bloom_560m_zero_shot,66.0,63.3,19.5,49.6
en,opt_1b_zero_shot,96.6,19.3,0.0,38.6
hi,opt_1b_zero_shot,59.4,68.8,37.5,55.3
en,Llama2_7b_chat_zero_shot,82.8,70.4,25.9,59.7
hi,Llama2_7b_chat_zero_shot,61.8,76.9,38.1,58.9
en,opt_6b_zero_shot,83.0,27.4,0.7,37.0
hi,opt_6b_zero_shot,66.6,59.1,33.1,52.9
en,opt_13b_zero_shot,55.4,52.3,27.4,45.1
hi,opt_13b_zero_shot,55.2,76.2,40.1,57.2
en,opt_2b_zero_shot,91.2,23.6,0.0,38.3
hi,opt_2b_zero_shot,60.2,66.8,32.6,53.2
en,Llama2_13b_chat_zero_shot,90.0,54.1,24.0,56.0
hi,Llama2_13b_chat_zero_shot,60.8,77.1,36.7,58.2
en,Llama3_8b_zero_shot,25.4,73.1,34.7,44.4
hi,Llama3_8b_zero_shot,56.6,77.4,35.8,56.6
en,opt_6b_few_shot,11.2,75.4,39.3,42.0
hi,opt_6b_few_shot,57.0,70.6,37.2,54.9
en,opt_13b_few_shot,36.6,74.4,37.2,49.4
hi,opt_13b_few_shot,56.2,72.6,37.9,55.6
en,Llama2_13b_few_shot,82.8,31.6,3.4,39.3
hi,Llama2_13b_few_shot,55.0,78.5,38.6,57.4
en,Llama2_7b_chat_few_shot,78.8,62.6,28.2,56.5
hi,Llama2_7b_chat_few_shot,61.4,76.1,34.1,57.2
en,Llama2_7b_few_shot,46.8,61.1,34.3,47.4
hi,Llama2_7b_few_shot,53.4,77.6,38.0,56.3
en,opt_1b_few_shot,41.0,53.8,30.8,41.9
hi,opt_1b_few_shot,56.2,72.8,36.9,55.3
en,Llama2_13b_chat_few_shot,83.4,55.1,17.2,51.9
hi,Llama2_13b_chat_few_shot,68.4,76.4,33.1,59.3
en,Llama3_8b_few_shot,40.2,74.4,41.8,52.2
hi,Llama3_8b_few_shot,80.4,51.6,20.2,50.7
en,bloom_3b_few_shot,31.0,76.9,41.5,49.8
hi,bloom_3b_few_shot,52.2,79.3,37.5,56.3
en,opt_2b_few_shot,21.6,67.2,38.3,42.4
hi,opt_2b_few_shot,58.8,65.8,30.1,51.6
en,falcon_7b_few_shot,24.2,75.9,39.9,46.7
hi,falcon_7b_few_shot,56.4,75.5,40.2,57.3
