Language,Methodology,Sentiment Accuracy,Similarity,Bleu Score,Avg
bn,falcon_7b_finetune,40.8,51.0,8.3,33.4
en,falcon_7b_finetune,88.3,79.6,43.1,70.3
hi,falcon_7b_finetune,37.7,76.2,35.8,49.9
bn,llama2_13b_finetune,61.2,77.4,29.4,56.0
en,llama2_13b_finetune,92.0,82.0,47.3,73.8
hi,llama2_13b_finetune,79.6,80.2,40.0,66.6
bn,bloomz_7b_finetune,85.9,75.3,19.4,60.2
en,bloomz_7b_finetune,91.0,80.3,45.0,72.1
hi,bloomz_7b_finetune,85.3,81.0,39.8,68.7
bn,llama_13b_finetune,53.9,75.9,27.7,52.5
en,llama_13b_finetune,93.1,81.4,46.3,73.6
hi,llama_13b_finetune,72.4,79.7,39.7,63.9
bn,llama2_7b_finetune,56.7,76.1,27.9,53.6
en,llama2_7b_finetune,92.9,81.2,46.5,73.5
hi,llama2_7b_finetune,77.5,78.6,39.2,65.1
bn,llama_7b_finetune,41.9,76.0,28.4,48.8
en,llama_7b_finetune,91.5,81.6,47.2,73.4
hi,llama_7b_finetune,69.4,78.5,39.4,62.4
bn,opt_6b_finetune,22.5,76.3,27.6,42.1
en,opt_6b_finetune,91.7,80.6,44.5,72.3
hi,opt_6b_finetune,29.1,76.8,38.3,48.1
bn,bloom_7b_finetune,81.7,75.6,26.3,61.2
en,bloom_7b_finetune,91.2,80.6,43.2,71.7
hi,bloom_7b_finetune,83.9,81.0,40.4,68.4
en,llama_7B_finetune,90.0,79.4,42.9,70.8
bn,opt_1b_finetune,21.0,74.2,26.6,40.6
en,opt_1b_finetune,87.6,79.9,44.2,70.5
hi,opt_1b_finetune,17.8,77.8,37.9,44.5
bn,bloomz_560m_finetune,72.5,69.8,15.1,52.5
en,bloomz_560m_finetune,85.6,76.1,36.2,66.0
hi,bloomz_560m_finetune,70.2,77.4,34.7,60.8
bn,bloom_1b_finetune,80.3,75.8,22.8,59.6
en,bloom_1b_finetune,87.7,79.0,42.7,69.8
hi,bloom_1b_finetune,79.3,80.2,35.2,64.9
bn,bloom_560m_finetune,70.5,68.0,14.6,51.0
en,bloom_560m_finetune,84.2,75.8,35.9,65.3
hi,bloom_560m_finetune,70.9,76.5,33.9,60.4
bn,chatglm2_6b_finetune,42.1,48.1,7.8,32.7
en,chatglm2_6b_finetune,86.8,78.8,41.9,69.2
hi,chatglm2_6b_finetune,51.9,74.1,32.8,52.9
bn,bloomz_3b_finetune,85.0,74.5,19.2,59.6
en,bloomz_3b_finetune,88.7,79.7,43.5,70.6
hi,bloomz_3b_finetune,81.8,80.2,38.9,67.0
bn,opt_13b_finetune,24.8,77.0,29.6,43.8
en,opt_13b_finetune,93.3,81.2,45.3,73.3
hi,opt_13b_finetune,41.3,76.8,38.2,52.1
bn,opt_2b_finetune,17.5,76.1,26.9,40.2
en,opt_2b_finetune,89.7,80.0,44.2,71.3
hi,opt_2b_finetune,22.9,77.6,38.3,46.2
bn,llama3_8b_finetune,81.9,80.2,32.3,64.8
en,llama3_8b_finetune,92.0,81.4,46.8,73.4
hi,llama3_8b_finetune,85.7,82.1,42.4,70.1
bn,bloom_3b_finetune,76.3,77.5,27.2,60.3
en,bloom_3b_finetune,90.0,80.0,44.0,71.4
hi,bloom_3b_finetune,78.9,80.4,38.0,65.8
bn,bloomz_1b_finetune,83.7,74.6,21.3,59.9
en,bloomz_1b_finetune,85.8,79.2,42.4,69.1
hi,bloomz_1b_finetune,76.2,80.0,37.3,64.5
